[09:03:36.969] [INFO   ] thread bguspl.set.Main.main() starting.
[09:03:36.982] [SEVERE ] cannot read configuration file config.properties trying from resources.
[09:03:36.989] [SEVERE ] configuration file was loaded from resources directory.
[09:03:38.715] [SEVERE ] updating countdown to 9223370329298957092
[09:03:38.718] [SEVERE ] updating countdown to 9223370329298957089
[09:03:38.721] [SEVERE ] updating countdown to 9223370329298957086
[09:03:38.724] [SEVERE ] updating countdown to 9223370329298957083
[09:03:38.727] [SEVERE ] updating countdown to 9223370329298957080
[09:03:38.730] [SEVERE ] updating countdown to 9223370329298957077
[09:03:38.732] [SEVERE ] updating countdown to 9223370329298957075
[09:03:38.735] [SEVERE ] updating countdown to 9223370329298957072
[09:03:38.737] [SEVERE ] updating countdown to 9223370329298957070
[09:03:38.741] [SEVERE ] updating countdown to 9223370329298957066
[09:03:38.744] [SEVERE ] updating countdown to 9223370329298957063
[09:03:38.747] [SEVERE ] updating countdown to 9223370329298957060
[09:03:38.750] [SEVERE ] updating countdown to 9223370329298957057
[09:03:38.752] [SEVERE ] updating countdown to 9223370329298957055
[09:03:38.755] [SEVERE ] updating countdown to 9223370329298957052
[09:03:38.758] [SEVERE ] updating countdown to 9223370329298957049
[09:03:38.761] [SEVERE ] updating countdown to 9223370329298957046
[09:03:38.763] [SEVERE ] updating countdown to 9223370329298957044
[09:03:38.765] [SEVERE ] updating countdown to 9223370329298957042
[09:03:38.767] [SEVERE ] updating countdown to 9223370329298957040
[09:03:38.770] [SEVERE ] updating countdown to 9223370329298957037
[09:03:38.773] [SEVERE ] updating countdown to 9223370329298957034
[09:03:38.776] [SEVERE ] updating countdown to 9223370329298957031
[09:03:38.779] [SEVERE ] updating countdown to 9223370329298957028
[09:03:38.781] [SEVERE ] updating countdown to 9223370329298957026
[09:03:38.783] [SEVERE ] updating countdown to 9223370329298957024
[09:03:38.786] [SEVERE ] updating countdown to 9223370329298957021
[09:03:38.789] [SEVERE ] updating countdown to 9223370329298957018
[09:03:38.791] [SEVERE ] updating countdown to 9223370329298957016
[09:03:38.793] [SEVERE ] updating countdown to 9223370329298957014
[09:03:38.795] [SEVERE ] updating countdown to 9223370329298957012
[09:03:38.798] [SEVERE ] updating countdown to 9223370329298957009
[09:03:38.800] [SEVERE ] updating countdown to 9223370329298957007
[09:03:38.804] [SEVERE ] updating countdown to 9223370329298957003
[09:03:38.807] [SEVERE ] updating countdown to 9223370329298957000
[09:03:38.810] [SEVERE ] updating countdown to 9223370329298956997
[09:03:38.814] [SEVERE ] updating countdown to 9223370329298956993
[09:03:38.816] [SEVERE ] updating countdown to 9223370329298956991
[09:03:38.818] [SEVERE ] updating countdown to 9223370329298956989
[09:03:38.822] [SEVERE ] updating countdown to 9223370329298956985
[09:03:38.825] [SEVERE ] updating countdown to 9223370329298956982
[09:03:38.827] [SEVERE ] updating countdown to 9223370329298956980
[09:03:38.829] [SEVERE ] updating countdown to 9223370329298956978
[09:03:38.832] [SEVERE ] updating countdown to 9223370329298956975
[09:03:38.834] [SEVERE ] updating countdown to 9223370329298956973
[09:03:38.837] [SEVERE ] updating countdown to 9223370329298956970
[09:03:38.840] [SEVERE ] updating countdown to 9223370329298956967
[09:03:38.843] [SEVERE ] updating countdown to 9223370329298956964
[09:03:38.846] [SEVERE ] updating countdown to 9223370329298956961
[09:03:38.848] [SEVERE ] updating countdown to 9223370329298956959
[09:03:38.851] [SEVERE ] updating countdown to 9223370329298956956
[09:03:38.854] [SEVERE ] updating countdown to 9223370329298956953
[09:03:38.858] [SEVERE ] updating countdown to 9223370329298956949
[09:03:38.860] [SEVERE ] updating countdown to 9223370329298956947
[09:03:38.863] [SEVERE ] updating countdown to 9223370329298956944
[09:03:38.865] [SEVERE ] updating countdown to 9223370329298956942
